date,headline,score
2026-01-29,Apple sales surge 16% on ‘staggering’ iPhone demand,0.907335102558136
2026-01-29,Apple Inc (AAPL) Q1 2026 Earnings Call Highlights: Record Revenue and iPhone Sales Propel Growth,0.9501975178718568
2026-04-07,The Hidden Dangers Facing Apple Stock,0.0
2026-04-15,Apple (AAPL) Rises Higher Than Market: Key Facts,0.9252570271492004
2026-04-15,"Apple (AAPL) Stock at $260: Buy, Sell or Hold?",0.0
2026-04-16,Jim Cramer Reveals Why Apple (AAPL) Stock is Worth it,0.0
2026-04-20,"Tim Cook Is Stepping Down as Apple CEO, AAPL Stock Dips in After-Hours Trading",-0.95536071062088
2026-04-20,Tim Cook to become Apple Executive Chairman John Ternus to become Apple CEO,0.0
2026-04-21,4 Catalysts to Monitor Over In The Next 2 Quarters For AAPL Stock,0.0
2026-04-22,"Ahead of Earnings, Is Apple Stock a Buy, a Sell, or Fairly Valued?",0.0
2026-04-23,The Next Big Rally in Apple Stock Could Start Like This,0.0
2026-04-23,Apple (AAPL) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.0
2026-04-24,How Much Upside Can AAPL Stock Deliver?,0.0
2026-04-27,"Should You Buy, Sell, or Hold AAPL Stock Before Q2 Earnings?",0.0
2026-04-27,Is Apple Inc. (AAPL) the Best Big Name Stock to Buy?,0.0
2026-04-29,How Will Apple Stock React To Its Upcoming Earnings?,0.0
2026-04-30,"Apple posts $111.2B in sales, approves another $100B buyback",0.8723979592323303
2026-04-30,"Apple Sees Sales Surge, Powered by iPhone 17 and China",0.9473549127578736
2026-04-30,Here's How Much Traders Expect Apple Stock to Move After Earnings,0.0
2026-04-30,"Apple revenue guidance tops estimates on booming iPhone, Mac demand",0.9420718550682068
2026-05-02,"Morgan Stanley Raises Apple (AAPL) Price Target, Keeps Overweight Rating",0.908217191696167
2026-05-02,AAPL Q1 Deep Dive: Leadership Transition and Broad-Based Growth Drive Outperformance,0.9293954372406006
2026-05-03,"Apple (AAPL) Stock Trades Up, Here Is Why",0.0
2026-05-04,Interpreting Apple (AAPL) International Revenue Trends,0.0
2026-05-05,Can Apple Stock Withstand These Pressures?,0.0
2026-05-06,March Quarter Results Bolster Confidence in Apple Inc (AAPL) Stock,0.951126754283905
2026-05-08,"After Earnings, Is Apple Stock a Buy, a Sell, or Fairly Valued?",0.0
2026-05-11,Apple (AAPL) Gains Wall Street Confidence on Supply Chain Strength and AI Services Potential,0.9522603154182434
2026-05-11,A Major Catalyst for AAPL Stock Is Just a Month Away: Apple Is a ‘Sleep Tech Giant’ Says Wedbush,0.0
2026-05-14,Fund Update: New $770.0M $AAPL stock position opened by RENAISSANCE TECHNOLOGIES LLC,0.0
2026-05-18,Jim Cramer Shares Key Insights About Apple (AAPL),0.0
2026-05-20,Apple Inc. (AAPL): A Top Stock Pick by Graham Stephan?,0.0
2026-05-21,Is Apple Inc. (AAPL) One of Louis Navellier’s Top Long-Term Stock Picks on Earning Growth Prospects?,0.0
2026-05-21,Apple Inc. (AAPL) Targets $15B Service Revenue via AI,0.0
2026-05-22,Where Will Apple Stock Be In 3 Years?,0.0
2026-05-23,Apple Inc. (AAPL)’s Durable Growth Narrative Keeps Getting Stronger,0.9330006837844848
2026-05-28,What Could Push AAPL Stock Higher From Here?,0.0
2026-05-30,Apple Inc. (AAPL): Renaissance Technologies Opens New Position,0.0
2026-06-01,Apple Inc. (AAPL): One of the Promising Stocks to Buy According to AI,0.0
2026-06-01,"Apple’s WWDC 2026 ‘Key Catalyst’ For AAPL Stock, Will Decide AI Positioning: Morgan Stanley",0.0
2026-06-01,Melius Raises Apple (AAPL) Price Target Ahead of WWDC,0.0
2026-06-03,Does Apple Stock Still Have Room to Run?,0.0
2026-06-03,What Apple Stock Was Shouting Before the Surge,0.0
2026-06-05,Apple Stock Looks Strong. One Number Says Be Careful.,0.0
2026-06-05,Apple (AAPL) Stock Moves -1.18%: What You Should Know,0.0
2026-06-06,5 Catalysts to Monitor Over In The Next 2 Quarters For AAPL Stock,0.0
2026-06-06,"Apple Stock: Buy, Sell, or Hold?",0.0
2026-06-06,Here’s Why Apple (AAPL) is One of the Best Big Company Stocks to Buy Right Now,0.0
2026-06-07,The Growth Question Hiding in Apple Stock,0.0
2026-06-08,Apple (AAPL) Is A Top Stock In Billionaire Ken Fisher’s Portfolio,0.0
2026-06-08,The Real Risk Inside Apple Stock,0.0
2026-06-08,Apple WWDC 2026: AAPL Stock Slips As Lack Of Launch Deadline For Siri AI Spooks Retail Investors,-0.9668632745742798
2026-06-08,Is Apple Inc. (AAPL) A Good Stock To Buy Now?,0.0
2026-06-09,Apple Inc. (AAPL) is Attracting Investor Attention: Here is What You Should Know,0.0
2026-06-09,Apple Stock Capital Return Hits $508 Bil,0.0
2026-06-09,Why Apple Stock Is Sinking Today,-0.7634552121162415
2026-06-10,Apple (AAPL) Declined Defies Strong Fundamentals,-0.5393170714378357
2026-06-11,Does Apple Stock Have More Upside?,0.0
2026-06-11,Apple Inc (AAPL): Our Calculation of Intrinsic Value,0.0
2026-06-11,Apple Inc. (AAPL) Is A Top Stock In Ken Griffin’s Portfolio,0.0
2026-06-12,The Tariff Threat To Apple Stock Vanished. Its Replacement Is A Bigger Worry.,-0.6158894896507263
2026-06-12,Apple Inc (AAPL) Declines Following Important AI Advancements at WWDC 2026,-0.963650643825531
2026-06-13,Wall Street’s Top Billionaires Are Changing Their Mind About Apple (AAPL),0.0
2026-06-15,Apple (AAPL) Stock Fair Value Edges Higher As AI And Siri Plans Draw Split Views,0.9272692203521729
2026-06-16,Here’s Why Apple Inc (AAPL) Is Falling Despite AI Advancements at WWDC 2026,-0.9250209331512452
2026-06-16,Apple (AAPL) Stock Could Be Pricing In Too Much Growth After A 50% Run,-0.9528658390045166
2026-06-16,"TD Cowen, Maxim Reiterate Bullish Outlook on Apple Inc. (AAPL) Following WWDC26",-0.5471082925796509
2026-06-17,Apple (AAPL) Stock After 129% Five-Year Rally Is There Still Value Here,0.0
2026-06-17,"Should You Buy, Sell, or Hold AAPL Stock After a 52% Rise in One Year?",0.0
2026-06-17,Apple (AAPL) Stock Moves -1.10%: What You Should Know,0.0
2026-06-19,Apple: Pulling the Pricing Lever,0.0
2026-06-22,Here is What to Know Beyond Why Apple Inc. (AAPL) is a Trending Stock,0.0
2026-06-22,Is Apple’s Margin Miracle Over?,0.0
2026-06-22,Jim Cramer Discusses President Trump’s Big Announcement For Apple (AAPL),0.0
