date,mean_score,headline_count,std_score
2026-01-29,0.9287663102149963,2,0.02143120765686035
2026-04-15,0.4626285135746002,2,0.4626285135746002
2026-04-16,0.0,1,0.0
2026-04-20,-0.47768035531044,2,0.47768035531044
2026-04-21,0.0,1,0.0
2026-04-22,0.0,1,0.0
2026-04-23,0.0,2,0.0
2026-04-24,0.0,1,0.0
2026-04-27,0.0,2,0.0
2026-04-29,0.0,1,0.0
2026-04-30,0.6904561817646027,4,0.3997311453849478
2026-05-03,0.0,1,0.0
2026-05-04,0.0,1,0.0
2026-05-05,0.0,1,0.0
2026-05-06,0.951126754283905,1,0.0
2026-05-08,0.0,1,0.0
2026-05-11,0.4761301577091217,2,0.4761301577091217
2026-05-18,0.0,1,0.0
2026-05-20,0.0,1,0.0
2026-05-21,0.0,1,0.0
2026-05-22,0.0,1,0.0
2026-05-23,0.9330006837844848,1,0.0
2026-05-28,0.0,1,0.0
2026-05-30,0.0,1,0.0
2026-06-01,0.0,2,0.0
2026-06-03,0.0,2,0.0
2026-06-05,0.0,2,0.0
2026-06-06,0.0,2,0.0
2026-06-07,0.0,1,0.0
2026-06-08,-0.3222877581914266,3,0.4557837186211361
2026-06-09,0.0,2,0.0
2026-06-10,-0.5393170714378357,1,0.0
2026-06-11,0.0,3,0.0
2026-06-12,-0.963650643825531,1,0.0
2026-06-13,0.0,1,0.0
2026-06-15,0.9272692203521729,1,0.0
2026-06-16,-0.8083316882451376,3,0.18506229856951764
2026-06-17,0.0,3,0.0
2026-06-22,0.0,3,0.0
2026-06-23,0.0,1,0.0
2026-06-25,-0.8227248191833496,2,0.14453274011611938
2026-06-27,0.0,1,0.0
2026-06-28,0.934873640537262,1,0.0
2026-06-29,-0.9412412047386168,1,0.0
2026-06-30,-0.23979349434375766,4,0.7669106283045801
2026-07-01,0.0,1,0.0
2026-07-02,0.0,1,0.0
2026-07-03,0.0,4,0.0
2026-07-06,-0.96792733669281,1,0.0
2026-07-08,0.902832329273224,1,0.0
2026-07-09,0.7241066694259644,1,0.0
2026-07-12,0.0,1,0.0
2026-07-14,0.0,3,0.0
2026-07-15,0.18514805287122726,8,0.4338180336286991
2026-07-16,0.0,1,0.0
2026-07-17,0.0,2,0.0
2026-07-20,0.0,1,0.0
2026-07-21,0.4063715934753418,2,0.4063715934753418
2026-07-22,0.5692532658576965,1,0.0
2026-07-23,0.0,3,0.0
2026-07-24,0.0,2,0.0
2026-07-25,0.0,1,0.0
2026-07-28,0.45766881108284,2,0.45766881108284
2026-07-29,0.3087235689163208,3,0.43660105818568573
2026-07-30,-0.30786215886473656,8,0.5451055843320558
2026-07-31,-0.4978203276793162,12,0.5253030321671058
2026-08-01,-0.4548386931419372,2,0.4548386931419372
2026-08-02,0.0,1,0.0
2026-08-03,0.0,3,0.0
2026-08-04,-0.3871791362762451,6,0.40473321138882956
2026-08-05,-0.3842521160840988,4,0.4092372602681327
2026-08-06,0.0,3,0.0
2026-08-07,0.2941859761873881,3,0.41604179738417263
2026-08-10,-0.9441611766815186,3,0.009790420280027289
2026-08-11,-0.2907749772071838,5,0.3575849707896058
2026-08-12,0.2781510427594185,4,0.28262687112771323
2026-08-13,-0.9694929718971252,1,0.0
2026-08-14,-0.7866467833518982,2,0.14641934633255005
2026-08-17,-0.33951160311698914,2,0.33951160311698914
2026-08-18,0.17287047704060873,3,0.576232707802877
2026-08-20,-0.3245237682546888,14,0.5846677203492648
2026-08-21,-0.4047345646790096,14,0.4676682751939882
2026-08-22,0.06749142706394198,4,0.5702799973662144
2026-08-23,-0.12022886276245119,5,0.8438813952695339
2026-08-24,-0.15678049996495247,16,0.4974500471062421
2026-08-25,0.10364221004729575,47,0.4663261581683066
2026-08-26,0.14104437083005905,32,0.46335927072602073
2026-08-27,-0.09292999629316659,29,0.34571698173456583
2026-08-28,0.03341214358806611,28,0.4937184974794287
2026-08-29,-0.059069663286209106,12,0.19591190961298735
2026-08-30,-0.02227659821510315,10,0.2805275700451978
2026-08-31,-0.03681329444602684,27,0.3610270527925383
